Title,Framework,Hook Score,Why
"Rockefeller: The World’s First Billionaire","(Person): The World’s First (Milestone Achiever)","+375","Extreme – “The World’s Second Billionaire” is a lot less cool than the world’s first. Extreme things, like the biggest, fastest, cheapest, or first, make for much more interesting topics. Epic – “World’s First” and “Billionaire” make this video feel epic. Authority – A lot of people know Rockefeller’s name, which helps grab extra attention."
"I Spent a Day in Haiti’s Most Dangerous Slum","I Spent a Day in (Entity’s) Most Dangerous (Place)","+412","Negativity – This title leverages fear to get people to click. Extreme – “Most Dangerous Slum” is a lot cooler and more epic than, say, “A Pretty Dangerous Slum”. Time Frame – Spending a day here makes this video feel more tangible, which makes it more interesting."
"How Do Portland Residents Feel About Living in Portland Oregon?","How Do (Group of People) Feel About (Their Current Choice or Activity)?","+416","Curiosity – This builds curiosity by asking a question. Desire – This works well because this creator’s audience is considering moving to Portland. Credibility – This has credibility because it’s about how real residents feel about living in Portland, not visitors or a realtor trying to sell you on living in Portland."
"Why I Don’t Own A House as a Multi-Millionaire…","Why I Don’t (Expected Action) as a (Person Who Would Do Expected Action)…","+751","Curiosity – This builds curiosity because it’s counterintuitive. You would expect a multi-millionaire to own a house. Negativity – The thumbnail piles on the drama and fear and the rent vs. buy argument is a controversial one that a lot of people have strong opinions about. Credibility – Since this creator is a multi-millionaire he brings more credibility to this argument."
"Skincare Ingredients You CAN’T Mix?! | Doctorly Investigates","(Tools) You CAN’T Mix?!","+401","Negativity – This is all about warning your audience about things they shouldn’t do. Curiosity – This opens a loop and makes you want to know what ingredients they’re talking about."
"Make anyone OBSESSED with you in these 12 STEPS","(Achieve Deep Desire) in these (Number) STEPS","+406","Desire – This title speaks to a deep desire this audience has. It’s not just “Make anyone like you” it’s “Make anyone OBSESSED with you”. List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity."
"Are these words really BAD? | Arabic101","Are these (Entities) really BAD?","+465","Negativity – This is about “BAD” words, and people love bad, controversial, or taboo things. Curiosity – This title builds curiosity by framing it as a question."
"10 Life-changing SELF CARE HABITS for the Highly Sensitive Person","10 Life-changing (Goal or Niche) HABITS for the (Underdog)","+841","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience wants to change their life and they want to learn about self-care habits. Specific Audience – By calling out highly sensitive people, this title makes highly sensitive people more likely to click. And this works so well because highly sensitive people probably are more likely to watch a video about life-changing habits than, say, perfectly content people, or highly confident people."
"I Mixed Every Sports Drink & Flavor Into One Drink","I Mixed Every (Entity) Into One (Entity)","+390","Curiosity – This builds curiosity two ways: The word “Every” makes this video feel extreme and unique.



This does a good job at starting a story and making you want to know what will happen and what it will taste like."
"Making A Worn-Down Home Look Fancy (Even if You’re BROKE!)","Making A [Negative Description] [Entity] Look [Positive Description] (Even if You’re [Constraint]!)","+707","Desire – This creator’s audience would love to make their home look fancy. Curiosity – The contrast between “worn-down” and “fancy” builds curiosity. “Even if You’re BROKE” – These four words add so much to this title: It refutes an objection and gets rid of the excuse that you have to be rich to have a fancy-looking home.



It’s a constraint, which adds to the curiosity.



It digs at a pain point many people have."
"Clear Ketchup","(Counterintuitive or Impossible Thing)","+1238","“Clear Ketchup” was trending on TikTok, so that certainly helped this video do well. However, clear bacon, clear crisps, and clear tomato soup have all gotten loads of views for this channel without the help of TikTok, so the TikTok wave wasn’t the only reason for this video’s success. Plus, what made this trend on TikTok in the first place? The biggest thing is that it builds so much curiosity. Clear Ketchup seems impossible and challenges our assumptions of what ketchup should be like. This is also a great example of how if you have a great idea and thumbnail, your title doesn’t need to be fancy, it just needs to be clear (no pun intended)."
"When Your Game Is Bad But Your Optimisation Is Genius","When Your (Attribute) Is Bad But Your (Other Attribute) Is Genius","+16666","Curiosity – This title builds curiosity two ways: There’s contrast between bad and genius



It opens a loop because it makes you want to know what happens"
"10 Dunkers vs 1 Fake","10 (Entities) vs 1 Fake","+503","Curiosity – This builds curiosity in two ways: “Fake” adds intrigue here



People love challenge videos because they make you want to know what will happen There’s also curiosity throughout the video (which made me watch until the end) because you see the contestants, and you know that 10 of them can dunk, but there were several short people. That held my attention the whole time because I wanted to see the short people dunk."
